Landsat Product Identifier L2;Landsat Product Identifier L1;Landsat Scene Identifier;Date Acquired;Collection Category;Collection Number;WRS Path;WRS Row;Target WRS Path;Target WRS Row;Nadir/Off Nadir;Roll Angle;Date Product Generated L2;Date Product Generated L1;Start Time;Stop Time;Station Identifier;Day/Night Indicator;Land Cloud Cover;Scene Cloud Cover L1;Ground Control Points Model;Ground Control Points Version;Geometric RMSE Model;Geometric RMSE Model X;Geometric RMSE Model Y;Processing Software Version;Sun Elevation L0RA;Sun Azimuth L0RA;TIRS SSM Model;Data Type L2;Sensor Identifier;Satellite;Product Map Projection L1;UTM Zone;Datum;Ellipsoid;Scene Center Lat DMS;Scene Center Long DMS;Corner Upper Left Lat DMS;Corner Upper Left Long DMS;Corner Upper Right Lat DMS;Corner Upper Right Long DMS;Corner Lower Left Lat DMS;Corner Lower Left Long DMS;Corner Lower Right Lat DMS;Corner Lower Right Long DMS;Scene Center Latitude;Scene Center Longitude;Corner Upper Left Latitude;Corner Upper Left Longitude;Corner Upper Right Latitude;Corner Upper Right Longitude;Corner Lower Left Latitude;Corner Lower Left Longitude;Corner Lower Right Latitude;Corner Lower Right Longitude;Display ID;Entity ID
LC08_L2SP_196028_20130322_20200913_02_T1;LC08_L1TP_196028_20130322_20200913_02_T1;LC81960282013081LGN02;22/03/2013;T1;2;196;28;196;28;NADIR;   0.000;13/09/2020;13/09/2020;2013-03-22 10:21:51.325364;2013-03-22 10:22:21.121385;LGN;DAY;  38.60;  38.60;550;5;    6.843;    4.724;    4.950;LPGS_15.3.1c;41.52688670;153.11393944;ACTUAL;OLI_TIRS_L2SP;OLI_TIRS;8;UTM;31;WGS84;WGS84;"46°01'47.64""N";"6°23'28.72""E";"47°02'35.34""N";"4°59'58.74""E";"46°57'19.94""N";"7°54'09.32""E";"45°04'23.74""N";"4°55'47.10""E";"44°59'29.15""N";"7°43'54.73""E"; 46.02990;   6.39131; 47.04315;   4.99965; 46.95554;   7.90259; 45.07326;   4.92975; 44.99143;   7.73187;LC08_L2SP_196028_20130322_20200913_02_T1;LC81960282013081LGN02
LC08_L2SP_196029_20130322_20200912_02_T1;LC08_L1TP_196029_20130322_20200912_02_T1;LC81960292013081LGN02;22/03/2013;T1;2;196;29;196;29;NADIR;   0.000;12/09/2020;12/09/2020;2013-03-22 10:22:15.118974;2013-03-22 10:22:44.914994;LGN;DAY;  38.80;  38.80;787;5;    5.970;    3.933;    4.491;LPGS_15.3.1c;42.65307302;151.98800164;ACTUAL;OLI_TIRS_L2SP;OLI_TIRS;8;UTM;31;WGS84;WGS84;"44°36'29.12""N";"5°52'24.24""E";"45°37'11.17""N";"4°30'07.34""E";"45°32'49.63""N";"7°20'24.86""E";"43°38'26.81""N";"4°27'06.59""E";"43°34'22.58""N";"7°11'44.27""E"; 44.60809;   5.87340; 45.61977;   4.50204; 45.54712;   7.34024; 43.64078;   4.45183; 43.57294;   7.19563;LC08_L2SP_196029_20130322_20200912_02_T1;LC81960292013081LGN02
LC08_L2SP_195029_20130327_20200913_02_T1;LC08_L1TP_195029_20130327_20200913_02_T1;LC81950292013086LGN02;27/03/2013;T1;2;195;29;195;29;NADIR;   0.000;13/09/2020;13/09/2020;2013-03-27 10:18:01.201336;2013-03-27 10:18:30.997357;LGN;DAY;  38.27;  38.79;458;5;    6.199;    4.237;    4.525;LPGS_15.3.1c;44.64710571;151.63593996;ACTUAL;OLI_TIRS_L2SP;OLI_TIRS;8;UTM;32;WGS84;WGS84;"44°36'29.16""N";"6°59'02.72""E";"45°35'39.19""N";"5°28'40.80""E";"45°38'49.42""N";"8°24'57.92""E";"43°32'43.37""N";"5°35'58.81""E";"43°35'40.49""N";"8°26'10.72""E"; 44.60810;   6.98409; 45.59422;   5.47800; 45.64706;   8.41609; 43.54538;   5.59967; 43.59458;   8.43631;LC08_L2SP_195029_20130327_20200913_02_T1;LC81950292013086LGN02
LC08_L2SP_195030_20130327_20200913_02_T1;LC08_L1TP_195030_20130327_20200913_02_T1;LC81950302013086LGN02;27/03/2013;T1;2;195;30;195;30;NADIR;   0.000;13/09/2020;13/09/2020;2013-03-27 10:18:24.986474;2013-03-27 10:18:54.782494;LGN;DAY;  37.17;  64.70;468;5;    5.963;    4.151;    4.281;LPGS_15.3.1c;45.75339555;150.41172334;ACTUAL;OLI_TIRS_L2SP;OLI_TIRS;8;UTM;32;WGS84;WGS84;"43°11'04.63""N";"6°29'10.46""E";"44°09'58.90""N";"5°00'31.82""E";"44°13'50.23""N";"7°52'41.09""E";"42°06'55.33""N";"5°08'24.97""E";"42°10'30.76""N";"7°54'54.47""E"; 43.18462;   6.48624; 44.16636;   5.00884; 44.23062;   7.87808; 42.11537;   5.14027; 42.17521;   7.91513;LC08_L2SP_195030_20130327_20200913_02_T1;LC81950302013086LGN02
LC08_L2SP_198027_20130330_20200913_02_T1;LC08_L1TP_198027_20130330_20200913_02_T1;LC81980272013089LGN02;30/03/2013;T1;2;198;27;198;27;NADIR;   0.000;13/09/2020;13/09/2020;2013-03-30 10:34:23.762667;2013-03-30 10:34:53.558688;LGN;DAY;  93.15;  93.15;81;5;    7.269;    5.204;    5.075;LPGS_15.3.1c;43.58880512;153.85138700;ACTUAL;OLI_TIRS_L2SP;OLI_TIRS;8;UTM;31;WGS84;WGS84;"47°26'57.05""N";"3°46'48.65""E";"48°27'13.68""N";"2°16'01.06""E";"48°25'57.79""N";"5°19'16.68""E";"46°26'05.28""N";"2°17'40.16""E";"46°24'54.50""N";"5°14'03.19""E"; 47.44918;   3.78018; 48.45380;   2.26696; 48.43272;   5.32130; 46.43480;   2.29449; 46.41514;   5.23422;LC08_L2SP_198027_20130330_20200913_02_T1;LC81980272013089LGN02
LC08_L2SP_198028_20130330_20200913_02_T2;LC08_L1GT_198028_20130330_20200913_02_T2;LC81980282013089LGN02;30/03/2013;T2;2;198;28;198;28;NADIR;   0.000;13/09/2020;13/09/2020;2013-03-30 10:34:47.547805;2013-03-30 10:35:17.343825;LGN;DAY;  99.98;  99.98;-1;5;    0.000;    0.000;    0.000;LPGS_15.3.1c;44.72078750;152.64822731;ACTUAL;OLI_TIRS_L2SP;OLI_TIRS;8;UTM;31;WGS84;WGS84;"46°01'46.42""N";"3°14'25.84""E";"47°01'46.34""N";"1°45'13.21""E";"47°01'23.66""N";"4°43'49.62""E";"45°00'27.47""N";"1°47'53.88""E";"45°00'06.34""N";"4°40'06.64""E"; 46.02956;   3.24051; 47.02954;   1.75367; 47.02324;   4.73045; 45.00763;   1.79830; 45.00176;   4.66851;LC08_L2SP_198028_20130330_20200913_02_T2;LC81980282013089LGN02
LC08_L2SP_198029_20130330_20200912_02_T1;LC08_L1TP_198029_20130330_20200912_02_T1;LC81980292013089LGN02;30/03/2013;T1;2;198;29;198;29;NADIR;   0.000;12/09/2020;12/09/2020;2013-03-30 10:35:11.32447;2013-03-30 10:35:41.12049;LGN;DAY;  82.35;  82.35;23;5;    8.433;    5.320;    6.544;LPGS_15.3.1c;45.83819458;151.41503123;ACTUAL;OLI_TIRS_L2SP;OLI_TIRS;8;UTM;31;WGS84;WGS84;"44°36'30.10""N";"2°43'22.69""E";"45°36'10.76""N";"1°15'58.72""E";"45°36'36.50""N";"4°10'15.24""E";"43°34'41.92""N";"1°19'31.80""E";"43°35'05.93""N";"4°07'51.28""E"; 44.60836;   2.72297; 45.60299;   1.26631; 45.61014;   4.17090; 43.57831;   1.32550; 43.58498;   4.13091;LC08_L2SP_198029_20130330_20200912_02_T1;LC81980292013089LGN02
LC08_L2SP_194029_20130401_20200913_02_T2;LC08_L1GT_194029_20130401_20200913_02_T2;LC81940292013091LGN02;01/04/2013;T2;2;194;29;194;29;NADIR;   0.000;13/09/2020;13/09/2020;2013-04-01 10:13:46.422995;2013-04-01 10:14:16.219016;LGN;DAY;  90.87;  85.82;-1;5;    0.000;    0.000;    0.000;LPGS_15.3.1c;46.61733279;151.26417938;ACTUAL;OLI_TIRS_L2SP;OLI_TIRS;8;UTM;32;WGS84;WGS84;"44°36'29.41""N";"8°05'50.32""E";"45°35'58.31""N";"6°37'26.44""E";"45°37'22.69""N";"9°32'24.14""E";"43°34'03.14""N";"6°42'19.48""E";"43°35'21.77""N";"9°31'17.47""E"; 44.60817;   8.09731; 45.59953;   6.62401; 45.62297;   9.54004; 43.56754;   6.70541; 43.58938;   9.52152;LC08_L2SP_194029_20130401_20200913_02_T2;LC81940292013091LGN02
LC08_L2SP_197028_20130404_20200912_02_T1;LC08_L1TP_197028_20130404_20200912_02_T1;LC81970282013094LGN02;04/04/2013;T1;2;197;28;197;28;NADIR;   0.000;12/09/2020;12/09/2020;2013-04-04 10:30:34.574386;2013-04-04 10:31:04.370406;LGN;DAY;  70.89;  70.89;379;5;    6.745;    4.477;    5.044;LPGS_15.3.1c;46.67550989;152.33428151;ACTUAL;OLI_TIRS_L2SP;OLI_TIRS;8;UTM;31;WGS84;WGS84;"46°01'47.78""N";"4°20'52.44""E";"47°02'10.57""N";"2°53'40.92""E";"47°00'03.35""N";"5°50'47.54""E";"45°01'48.40""N";"2°53'54.38""E";"44°59'49.70""N";"5°44'43.87""E"; 46.02994;   4.34790; 47.03627;   2.89470; 47.00093;   5.84654; 45.03011;   2.89844; 44.99714;   5.74552;LC08_L2SP_197028_20130404_20200912_02_T1;LC81970282013094LGN02
LC08_L2SP_197029_20130404_20200913_02_T1;LC08_L1TP_197029_20130404_20200913_02_T1;LC81970292013094LGN02;04/04/2013;T1;2;197;29;197;29;NADIR;   0.000;13/09/2020;13/09/2020;2013-04-04 10:30:58.355287;2013-04-04 10:31:28.151307;LGN;DAY;  99.93;  99.93;48;5;    7.875;    5.629;    5.508;LPGS_15.3.1c;47.78749412;151.02737856;ACTUAL;OLI_TIRS_L2SP;OLI_TIRS;8;UTM;31;WGS84;WGS84;"44°36'30.28""N";"3°49'48.97""E";"45°36'33.08""N";"2°24'17.78""E";"45°35'16.62""N";"5°16'54.88""E";"43°35'59.75""N";"2°25'30.40""E";"43°34'48.40""N";"5°12'16.74""E"; 44.60841;   3.83027; 45.60919;   2.40494; 45.58795;   5.28191; 43.59993;   2.42511; 43.58011;   5.20465;LC08_L2SP_197029_20130404_20200913_02_T1;LC81970292013094LGN02
LC08_L2SP_197028_20130409_20200912_02_T1;LC08_L1TP_197028_20130409_20200912_02_T1;LC81970282013099LGN02;09/04/2013;T1;2;197;28;197;28;NADIR;   0.000;12/09/2020;12/09/2020;2013-04-09 10:30:14.5632;2013-04-09 10:30:44.35922;LGN;DAY;  83.97;  83.97;84;5;    7.201;    4.609;    5.533;LPGS_15.3.1c;48.58176341;151.97460043;ACTUAL;OLI_TIRS_L2SP;OLI_TIRS;8;UTM;31;WGS84;WGS84;"46°01'47.82""N";"4°28'38.17""E";"47°02'10.75""N";"3°00'33.16""E";"46°59'49.56""N";"5°59'46.64""E";"45°01'58.26""N";"3°00'32""E";"44°59'46.57""N";"5°53'24.40""E"; 46.02995;   4.47727; 47.03632;   3.00921; 46.99710;   5.99629; 45.03285;   3.00889; 44.99627;   5.89011;LC08_L2SP_197028_20130409_20200912_02_T1;LC81970282013099LGN02
LC08_L2SP_197029_20130409_20200913_02_T1;LC08_L1TP_197029_20130409_20200913_02_T1;LC81970292013099LGN02;09/04/2013;T1;2;197;29;197;29;NADIR;   0.000;13/09/2020;13/09/2020;2013-04-09 10:30:38.424585;2013-04-09 10:31:08.220606;LGN;DAY;  86.99;  86.99;208;5;    6.355;    4.377;    4.607;LPGS_15.3.1c;49.68749794;150.58853487;ACTUAL;OLI_TIRS_L2SP;OLI_TIRS;8;UTM;31;WGS84;WGS84;"44°36'28.94""N";"3°57'32.87""E";"45°36'34.99""N";"2°30'59.44""E";"45°35'05.46""N";"5°25'54.37""E";"43°36'11.23""N";"2°31'58.37""E";"43°34'47.75""N";"5°20'58.38""E"; 44.60804;   3.95913; 45.60972;   2.51651; 45.58485;   5.43177; 43.60312;   2.53288; 43.57993;   5.34955;LC08_L2SP_197029_20130409_20200913_02_T1;LC81970292013099LGN02
LC08_L2SP_194029_20130411_20200912_02_T1;LC08_L1TP_194029_20130411_20200912_02_T1;LC81940292013101LGN02;11/04/2013;T1;2;194;29;194;29;NADIR;   0.000;12/09/2020;12/09/2020;2013-04-11 10:14:05.946501;2013-04-11 10:14:35.742522;LGN;DAY;  77.28;  73.95;26;5;    8.632;    5.348;    6.775;LPGS_15.3.1c;50.42398227;150.39175389;ACTUAL;OLI_TIRS_L2SP;OLI_TIRS;8;UTM;32;WGS84;WGS84;"44°36'29.77""N";"8°06'23.62""E";"45°35'57.16""N";"6°36'31.10""E";"45°37'22.15""N";"9°34'14.99""E";"43°34'02.06""N";"6°41'26.05""E";"43°35'21.26""N";"9°33'04.50""E"; 44.60827;   8.10656; 45.59921;   6.60864; 45.62282;   9.57083; 43.56724;   6.69057; 43.58924;   9.55125;LC08_L2SP_194029_20130411_20200912_02_T1;LC81940292013101LGN02
LC08_L2SP_199027_20130414_20200913_02_T1;LC08_L1TP_199027_20130414_20200913_02_T1;LC81990272013104LGN02;14/04/2013;T1;2;199;27;199;27;NADIR;   0.000;13/09/2020;13/09/2020;2013-04-14 10:42:47.77354;2013-04-14 10:43:17.56956;LGN;DAY;   0.02;   0.02;535;5;    7.085;    4.997;    5.023;LPGS_15.3.1c;49.30620974;152.95721089;ACTUAL;OLI_TIRS_L2SP;OLI_TIRS;8;UTM;31;WGS84;WGS84;"47°26'56.47""N";"1°48'09.76""E";"48°26'27.28""N";"0°11'53.74""E";"48°28'28.09""N";"3°21'30.78""E";"46°23'39.84""N";"0°18'17.46""E";"46°25'32.34""N";"3°20'41.60""E"; 47.44902;   1.80271; 48.44091;   0.19826; 48.47447;   3.35855; 46.39440;   0.30485; 46.42565;   3.34489;LC08_L2SP_199027_20130414_20200913_02_T1;LC81990272013104LGN02
LC08_L2SP_199028_20130414_20200912_02_T1;LC08_L1TP_199028_20130414_20200912_02_T1;LC81990282013104LGN02;14/04/2013;T1;2;199;28;199;28;NADIR;   0.000;12/09/2020;12/09/2020;2013-04-14 10:43:11.660341;2013-04-14 10:43:41.456361;LGN;DAY;   0.02;   0.02;606;5;    6.951;    4.749;    5.076;LPGS_15.3.1c;50.42195574;151.53557501;ACTUAL;OLI_TIRS_L2SP;OLI_TIRS;8;UTM;31;WGS84;WGS84;"46°01'46.70""N";"1°15'45.94""E";"47°00'55.58""N";"0°18'37.76""W";"47°03'47.09""N";"2°46'05.63""E";"44°57'59.98""N";"0°11'25.51""W";"45°00'39.71""N";"2°46'35.94""E"; 46.02964;   1.26276; 47.01544;  -0.31049; 47.06308;   2.76823; 44.96666;  -0.19042; 45.01103;   2.77665;LC08_L2SP_199028_20130414_20200912_02_T1;LC81990282013104LGN02
LC08_L2SP_197028_20130416_20200913_02_T1;LC08_L1TP_197028_20130416_20200913_02_T1;LC81970282013106LGN02;16/04/2013;T1;2;197;28;197;28;NADIR;   0.000;13/09/2020;13/09/2020;2013-04-16 10:30:50.071898;2013-04-16 10:31:19.867919;LGN;DAY;  19.45;  19.45;488;5;    6.403;    4.421;    4.631;LPGS_15.3.1c;51.12402327;151.30661921;ACTUAL;OLI_TIRS_L2SP;OLI_TIRS;8;UTM;31;WGS84;WGS84;"46°01'46.60""N";"4°20'07.26""E";"47°02'00.67""N";"2°51'04.57""E";"46°59'51.86""N";"5°51'57.96""E";"45°01'48.22""N";"2°51'23.58""E";"44°59'48.05""N";"5°45'52.31""E"; 46.02961;   4.33535; 47.03352;   2.85127; 46.99774;   5.86610; 45.03006;   2.85655; 44.99668;   5.76453;LC08_L2SP_197028_20130416_20200913_02_T1;LC81970282013106LGN02
LC08_L2SP_197029_20130416_20200913_02_T1;LC08_L1TP_197029_20130416_20200913_02_T1;LC81970292013106LGN02;16/04/2013;T1;2;197;29;197;29;NADIR;   0.000;13/09/2020;13/09/2020;2013-04-16 10:31:13.958699;2013-04-16 10:31:43.75472;LGN;DAY;   4.21;   4.21;894;5;    4.946;    3.338;    3.650;LPGS_15.3.1c;52.21782926;149.80222883;ACTUAL;OLI_TIRS_L2SP;OLI_TIRS;8;UTM;31;WGS84;WGS84;"44°36'29.02""N";"3°49'05.92""E";"45°36'32.29""N";"2°21'45.43""E";"45°35'15.22""N";"5°18'04.07""E";"43°35'58.99""N";"2°23'03.19""E";"43°34'47.10""N";"5°13'23.59""E"; 44.60806;   3.81831; 45.60897;   2.36262; 45.58756;   5.30113; 43.59972;   2.38422; 43.57975;   5.22322;LC08_L2SP_197029_20130416_20200913_02_T1;LC81970292013106LGN02
LC08_L2SP_195028_20130418_20200913_02_T1;LC08_L1TP_195028_20130418_20200913_02_T1;LC81950282013108LGN02;18/04/2013;T1;2;195;28;195;28;NADIR;   0.000;13/09/2020;13/09/2020;2013-04-18 10:18:27.797053;2013-04-18 10:18:57.593074;LGN;DAY;   8.67;   8.67;615;5;    5.537;    3.874;    3.956;LPGS_15.3.1c;51.81940084;151.09582345;ACTUAL;OLI_TIRS_L2SP;OLI_TIRS;8;UTM;32;WGS84;WGS84;"46°01'46.27""N";"7°25'47.71""E";"47°01'03.47""N";"5°51'47.05""E";"47°03'38.16""N";"8°56'17.20""E";"44°58'16.36""N";"5°58'36.19""E";"45°00'40.43""N";"8°56'25.30""E"; 46.02952;   7.42992; 47.01763;   5.86307; 47.06060;   8.93811; 44.97121;   5.97672; 45.01123;   8.94036;LC08_L2SP_195028_20130418_20200913_02_T1;LC81950282013108LGN02
LC08_L2SP_195029_20130418_20200912_02_T1;LC08_L1TP_195029_20130418_20200912_02_T1;LC81950292013108LGN02;18/04/2013;T1;2;195;29;195;29;NADIR;   0.000;12/09/2020;12/09/2020;2013-04-18 10:18:51.683854;2013-04-18 10:19:21.479875;LGN;DAY;   4.39;   4.32;1065;5;    4.572;    3.199;    3.266;LPGS_15.3.1c;52.90940108;149.55533104;ACTUAL;OLI_TIRS_L2SP;OLI_TIRS;8;UTM;32;WGS84;WGS84;"44°36'28.69""N";"6°54'46.51""E";"45°35'27.53""N";"5°22'27.66""E";"45°38'48.59""N";"8°22'25.46""E";"43°32'32.46""N";"5°29'58.49""E";"43°35'39.73""N";"8°23'43.55""E"; 44.60797;   6.91292; 45.59098;   5.37435; 45.64683;   8.37374; 43.54235;   5.49958; 43.59437;   8.39543;LC08_L2SP_195029_20130418_20200912_02_T1;LC81950292013108LGN02
LC08_L2SP_195030_20130418_20200913_02_T1;LC08_L1TP_195030_20130418_20200913_02_T1;LC81950302013108LGN02;18/04/2013;T1;2;195;30;195;30;NADIR;   0.000;13/09/2020;13/09/2020;2013-04-18 10:19:15.570656;2013-04-18 10:19:45.366676;LGN;DAY;   1.81;  21.16;987;5;    4.375;    2.832;    3.334;LPGS_15.3.1c;53.97793065;147.95322965;ACTUAL;OLI_TIRS_L2SP;OLI_TIRS;8;UTM;32;WGS84;WGS84;"43°11'04.42""N";"6°24'56.66""E";"44°09'46.01""N";"4°54'28.01""E";"44°13'48.76""N";"7°50'12.37""E";"42°06'53.06""N";"5°02'32.46""E";"42°10'39.11""N";"7°52'30.47""E"; 43.18456;   6.41574; 44.16278;   4.90778; 44.23021;   7.83677; 42.11474;   5.04235; 42.17753;   7.87513;LC08_L2SP_195030_20130418_20200913_02_T1;LC81950302013108LGN02
LC08_L2SP_198027_20130423_20200913_02_T1;LC08_L1TP_198027_20130423_20200913_02_T1;LC81980272013113LGN02;23/04/2013;T1;2;198;27;198;27;NADIR;   0.000;13/09/2020;13/09/2020;2013-04-23 10:36:34.328888;2013-04-23 10:37:04.124909;LGN;DAY;  24.82;  24.82;247;5;    8.183;    5.706;    5.866;LPGS_15.3.1c;52.40523996;152.09290396;ACTUAL;OLI_TIRS_L2SP;OLI_TIRS;8;UTM;31;WGS84;WGS84;"47°26'56.54""N";"3°20'49.52""E";"48°26'59.14""N";"1°47'17.77""E";"48°26'24.68""N";"4°54'57.53""E";"46°25'41.99""N";"1°50'01.79""E";"46°25'09.84""N";"4°50'38.33""E"; 47.44904;   3.34709; 48.44976;   1.78827; 48.44019;   4.91598; 46.42833;   1.83383; 46.41940;   4.84398;LC08_L2SP_198027_20130423_20200913_02_T1;LC81980272013113LGN02
LC08_L2SP_198028_20130423_20200912_02_T1;LC08_L1TP_198028_20130423_20200912_02_T1;LC81980282013113LGN02;23/04/2013;T1;2;198;28;198;28;NADIR;   0.000;12/09/2020;12/09/2020;2013-04-23 10:36:58.215689;2013-04-23 10:37:28.01171;LGN;DAY;  18.00;  18.00;346;5;    6.512;    4.493;    4.714;LPGS_15.3.1c;53.50599391;150.51974107;ACTUAL;OLI_TIRS_L2SP;OLI_TIRS;8;UTM;31;WGS84;WGS84;"46°01'46.56""N";"2°48'29.30""E";"47°01'33.96""N";"1°16'47.96""E";"47°01'52.75""N";"4°19'40.69""E";"44°59'57.16""N";"1°20'30.19""E";"45°00'14.65""N";"4°16'49.08""E"; 46.02960;   2.80814; 47.02610;   1.27999; 47.03132;   4.32797; 44.99921;   1.34172; 45.00407;   4.28030;LC08_L2SP_198028_20130423_20200912_02_T1;LC81980282013113LGN02
LC08_L2SP_198029_20130423_20200912_02_T1;LC08_L1TP_198029_20130423_20200912_02_T1;LC81980292013113LGN02;23/04/2013;T1;2;198;29;198;29;NADIR;   0.000;12/09/2020;12/09/2020;2013-04-23 10:37:22.098255;2013-04-23 10:37:51.894275;LGN;DAY;  13.82;  13.82;386;5;    6.604;    4.688;    4.652;LPGS_15.3.1c;54.58526435;148.88475063;ACTUAL;OLI_TIRS_L2SP;OLI_TIRS;8;UTM;31;WGS84;WGS84;"44°36'30.02""N";"2°17'28.32""E";"45°36'00.54""N";"0°47'21.84""E";"45°37'08.40""N";"3°45'47.48""E";"43°34'14.27""N";"0°51'54.14""E";"43°35'17.48""N";"3°44'13.42""E"; 44.60834;   2.29120; 45.60015;   0.78940; 45.61900;   3.76319; 43.57063;   0.86504; 43.58819;   3.73706;LC08_L2SP_198029_20130423_20200912_02_T1;LC81980292013113LGN02
LC08_L2SP_196028_20130425_20200913_02_T1;LC08_L1TP_196028_20130425_20200913_02_T1;LC81960282013115LGN02;25/04/2013;T1;2;196;28;196;28;NADIR;   0.000;13/09/2020;13/09/2020;2013-04-25 10:24:35.605866;2013-04-25 10:25:05.401886;LGN;DAY;   2.96;   2.96;769;5;    5.951;    3.967;    4.435;LPGS_15.3.1c;54.14813085;150.26961942;ACTUAL;OLI_TIRS_L2SP;OLI_TIRS;8;UTM;31;WGS84;WGS84;"46°01'46.70""N";"5°54'12.53""E";"47°02'25.55""N";"4°27'59.08""E";"46°57'48.89""N";"7°26'30.62""E";"45°03'52.52""N";"4°24'54.07""E";"44°59'34.22""N";"7°17'12.12""E"; 46.02964;   5.90348; 47.04043;   4.46641; 46.96358;   7.44184; 45.06459;   4.41502; 44.99284;   7.28670;LC08_L2SP_196028_20130425_20200913_02_T1;LC81960282013115LGN02
LC08_L2SP_196029_20130425_20200912_02_T1;LC08_L1TP_196029_20130425_20200912_02_T1;LC81960292013115LGN02;25/04/2013;T1;2;196;29;196;29;NADIR;   0.000;12/09/2020;12/09/2020;2013-04-25 10:24:59.488431;2013-04-25 10:25:29.284452;LGN;DAY;  51.71;  51.71;381;5;    6.070;    4.068;    4.505;LPGS_15.3.1c;55.22277972;148.59552754;ACTUAL;OLI_TIRS_L2SP;OLI_TIRS;8;UTM;31;WGS84;WGS84;"44°36'30.31""N";"5°23'11.44""E";"45°36'52.99""N";"3°58'15.28""E";"45°33'10.51""N";"6°52'45.98""E";"43°37'57.50""N";"3°56'18.31""E";"43°34'29.78""N";"6°44'59.93""E"; 44.60842;   5.38651; 45.61472;   3.97091; 45.55292;   6.87944; 43.63264;   3.93842; 43.57494;   6.74998;LC08_L2SP_196029_20130425_20200912_02_T1;LC81960292013115LGN02
LC08_L2SP_199027_20130430_20200912_02_T2;LC08_L1GT_199027_20130430_20200912_02_T2;LC81990272013120LGN02;30/04/2013;T2;2;199;27;199;27;NADIR;   0.000;12/09/2020;12/09/2020;2013-04-30 10:42:45.610358;2013-04-30 10:43:15.406378;LGN;DAY; 100.00; 100.00;-1;5;    0.000;    0.000;    0.000;LPGS_15.3.1c;54.60128244;151.28569507;ACTUAL;OLI_TIRS_L2SP;OLI_TIRS;8;UTM;31;WGS84;WGS84;"47°26'56.87""N";"1°48'13.25""E";"48°26'27.28""N";"0°11'53.74""E";"48°28'28.06""N";"3°21'45.40""E";"46°23'39.84""N";"0°18'17.46""E";"46°25'32.30""N";"3°20'55.64""E"; 47.44913;   1.80368; 48.44091;   0.19826; 48.47446;   3.36261; 46.39440;   0.30485; 46.42564;   3.34879;LC08_L2SP_199027_20130430_20200912_02_T2;LC81990272013120LGN02
LC08_L2SP_199028_20130430_20200913_02_T2;LC08_L1GT_199028_20130430_20200913_02_T2;LC81990282013120LGN02;30/04/2013;T2;2;199;28;199;28;NADIR;   0.000;13/09/2020;13/09/2020;2013-04-30 10:43:09.501395;2013-04-30 10:43:39.297415;LGN;DAY;  99.93;  99.93;-1;5;    0.000;    0.000;    0.000;LPGS_15.3.1c;55.68771206;149.58365655;ACTUAL;OLI_TIRS_L2SP;OLI_TIRS;8;UTM;31;WGS84;WGS84;"46°01'46.16""N";"1°15'53.14""E";"47°00'55.58""N";"0°18'37.76""W";"47°03'47.12""N";"2°46'19.85""E";"44°57'59.98""N";"0°11'25.51""W";"45°00'39.74""N";"2°46'49.66""E"; 46.02949;   1.26476; 47.01544;  -0.31049; 47.06309;   2.77218; 44.96666;  -0.19042; 45.01104;   2.78046;LC08_L2SP_199028_20130430_20200913_02_T2;LC81990282013120LGN02
LC08_L2SP_197028_20130502_20200913_02_T1;LC08_L1TP_197028_20130502_20200913_02_T1;LC81970282013122LGN02;02/05/2013;T1;2;197;28;197;28;NADIR;   0.000;13/09/2020;13/09/2020;2013-05-02 10:30:48.801602;2013-05-02 10:31:18.597622;LGN;DAY;  69.99;  69.99;129;5;    7.526;    5.152;    5.485;LPGS_15.3.1c;56.26652575;149.28941649;ACTUAL;OLI_TIRS_L2SP;OLI_TIRS;8;UTM;31;WGS84;WGS84;"46°01'47.24""N";"4°21'10.01""E";"47°02'00.74""N";"2°52'01.45""E";"46°59'50.42""N";"5°52'54.73""E";"45°01'48.29""N";"2°52'18.44""E";"44°59'46.72""N";"5°46'47.06""E"; 46.02979;   4.35278; 47.03354;   2.86707; 46.99734;   5.88187; 45.03008;   2.87179; 44.99631;   5.77974;LC08_L2SP_197028_20130502_20200913_02_T1;LC81970282013122LGN02
LC08_L2SP_197029_20130502_20200912_02_T1;LC08_L1TP_197029_20130502_20200912_02_T1;LC81970292013122LGN02;02/05/2013;T1;2;197;29;197;29;NADIR;   0.000;12/09/2020;12/09/2020;2013-05-02 10:31:12.692639;2013-05-02 10:31:42.488659;LGN;DAY;  55.40;  55.40;245;5;    7.235;    4.787;    5.425;LPGS_15.3.1c;57.32347695;147.47158228;ACTUAL;OLI_TIRS_L2SP;OLI_TIRS;8;UTM;31;WGS84;WGS84;"44°36'29.20""N";"3°50'08.74""E";"45°36'32.58""N";"2°22'40.84""E";"45°35'13.81""N";"5°19'13.22""E";"43°36'09""N";"2°23'56.62""E";"43°34'55.52""N";"5°14'30.77""E"; 44.60811;   3.83576; 45.60905;   2.37801; 45.58717;   5.32034; 43.60250;   2.39906; 43.58209;   5.24188;LC08_L2SP_197029_20130502_20200912_02_T1;LC81970292013122LGN02
